time;knee_angle_l;% Gait Cycle
1.205;-0.00223262;96.65306122
1.206;0.02105265;96.73462729
1.207;0.04052355;96.81619336
1.208;0.05620513;96.89775943
1.209;0.06812335;96.9793255
1.21;0.07630507;97.06089157
1.211;0.08077799;97.14245764
1.212;0.08157068;97.2240237
1.213;0.07871257;97.30558977
1.214;0.07223398;97.38715584
1.215;0.06216603;97.46872191
1.216;0.04854066;97.55028798
1.217;0.03139065;97.63185405
1.218;0.01074958;97.71342012
1.219;-0.01334817;97.79498618
1.22;-0.04086738;97.87655225
1.221;-0.07177213;97.95811832
1.222;-0.10602605;98.03968439
1.223;-0.14359126;98.12125046
1.224;-0.18442851;98.20281653
1.225;-0.22850065;98.28438259
1.226;-0.27577065;98.36594866
1.227;-0.32619753;98.44751473
1.228;-0.3797392;98.5290808
1.229;-0.43635436;98.61064687
1.23;-0.49600103;98.69221294
1.231;-0.55863645;98.77377901
1.232;-0.62421738;98.85534507
1.233;-0.69269991;98.93691114
1.234;-0.7640393;99.01847721
1.235;-0.8381904;99.10004328
1.236;-0.91510772;99.18160935
1.237;-0.99474533;99.26317542
1.238;-1.07705651;99.34474149
1.239;-1.1619937;99.42630755
1.24;-1.2495091;99.50787362
1.241;-1.3395548;99.58943969
1.242;-1.4320826;99.67100576
1.243;-1.52704337;99.75257183
1.244;-1.62438701;99.8341379
1.245;-1.72406346;99.91570397
1.246;-1.82602284;99.99727003
1.247;-1.9302151;0
1.248;-2.03658911;0.081632653
1.249;-2.14509257;0.163265306
1.25;-2.2556736;0.244897959
1.251;-2.36828083;0.326530612
1.252;-2.48286278;0.408163265
1.253;-2.5993668;0.489795918
1.254;-2.71773888;0.571428571
1.255;-2.83792587;0.653061224
1.256;-2.95987541;0.734693878
1.257;-3.08353512;0.816326531
1.258;-3.20885139;0.897959184
1.259;-3.33576926;0.979591837
1.26;-3.4642349;1.06122449
1.261;-3.5941956;1.142857143
1.262;-3.72559863;1.224489796
1.263;-3.85839012;1.306122449
1.264;-3.99251499;1.387755102
1.265;-4.12791953;1.469387755
1.266;-4.26455128;1.551020408
1.267;-4.40235779;1.632653061
1.268;-4.54128572;1.714285714
1.269;-4.68128081;1.795918367
1.27;-4.82229022;1.87755102
1.271;-4.96426234;1.959183673
1.272;-5.10714563;2.040816327
1.273;-5.25088795;2.12244898
1.274;-5.3954367;2.204081633
1.275;-5.54074056;2.285714286
1.276;-5.68674925;2.367346939
1.277;-5.83341261;2.448979592
1.278;-5.98068031;2.530612245
1.279;-6.12850197;2.612244898
1.28;-6.27682824;2.693877551
1.281;-6.42561055;2.775510204
1.282;-6.57480058;2.857142857
1.283;-6.72435018;2.93877551
1.284;-6.87421148;3.020408163
1.285;-7.02433736;3.102040816
1.286;-7.17468129;3.183673469
1.287;-7.32519708;3.265306122
1.288;-7.47583893;3.346938776
1.289;-7.62656155;3.428571429
1.29;-7.77732014;3.510204082
1.291;-7.92807039;3.591836735
1.292;-8.07876841;3.673469388
1.293;-8.22937082;3.755102041
1.294;-8.37983477;3.836734694
1.295;-8.53011783;3.918367347
1.296;-8.68017805;4
1.297;-8.82997404;4.081632653
1.298;-8.97946489;4.163265306
1.299;-9.12861012;4.244897959
1.3;-9.27736981;4.326530612
1.301;-9.42570463;4.408163265
1.302;-9.57357591;4.489795918
1.303;-9.72094538;4.571428571
1.304;-9.86777512;4.653061224
1.305;-10.01402793;4.734693878
1.306;-10.15966741;4.816326531
1.307;-10.30465781;4.897959184
1.308;-10.44896375;4.979591837
1.309;-10.59255009;5.06122449
1.31;-10.73538267;5.142857143
1.311;-10.87742824;5.224489796
1.312;-11.01865425;5.306122449
1.313;-11.15902852;5.387755102
1.314;-11.29851927;5.469387755
1.315;-11.43709576;5.551020408
1.316;-11.57472834;5.632653061
1.317;-11.71138801;5.714285714
1.318;-11.84704627;5.795918367
1.319;-11.98167513;5.87755102
1.32;-12.11524764;5.959183673
1.321;-12.2477379;6.040816327
1.322;-12.37912065;6.12244898
1.323;-12.50937128;6.204081633
1.324;-12.6384658;6.285714286
1.325;-12.7663812;6.367346939
1.326;-12.89309535;6.448979592
1.327;-13.01858681;6.530612245
1.328;-13.14283488;6.612244898
1.329;-13.2658196;6.693877551
1.33;-13.38752181;6.775510204
1.331;-13.50792315;6.857142857
1.332;-13.62700595;6.93877551
1.333;-13.7447533;7.020408163
1.334;-13.8611491;7.102040816
1.335;-13.97617795;7.183673469
1.336;-14.0898251;7.265306122
1.337;-14.20207655;7.346938776
1.338;-14.31291902;7.428571429
1.339;-14.42233997;7.510204082
1.34;-14.53032747;7.591836735
1.341;-14.63687022;7.673469388
1.342;-14.74195764;7.755102041
1.343;-14.84557977;7.836734694
1.344;-14.94772731;7.918367347
1.345;-15.04839156;8
1.346;-15.14756446;8.081632653
1.347;-15.24523862;8.163265306
1.348;-15.34140722;8.244897959
1.349;-15.43606402;8.326530612
1.35;-15.52920342;8.408163265
1.351;-15.62082046;8.489795918
1.352;-15.71091081;8.571428571
